"";"x"
"1";0.0560749636262055
"2";-0.540232370531951
"3";-0.936734755249935
"4";-0.0625219294348006
"5";-1.99577494675951
"6";-0.920731127165091
"7";-1.0931547909583
"8";-1.58216564705119
"9";-0.637982578864526
"10";-0.752158953741083
"11";-0.613685459433019
"12";-2.39767740324791
"13";-0.413047365118087
"14";0.841289736983375
"15";-1.73524510479192
"16";-1.10807752845152
"17";-1.28275997083859
"18";-1.46095975770393
"19";-0.610845006524098
"20";-0.67622992080329
"21";-1.8275096970968
"22";-0.499646867471219
"23";-0.219337395340072
"24";-0.460719117496683
"25";0.0347134181979922
"26";-1.66629593462809
"27";-2.80619487254267
"28";0.243880121783155
"29";0.204510862180593
"30";-1.40364021833148
"31";-1.78270732637241
"32";-0.982410961700116
"33";-1.26679535583082
"34";-1.59873769529623
"35";-1.86241694090182
"36";-1.14192891093716
"37";1.11466694846375
"38";-1.33854546116856
"39";-2.00809794489709
"40";-0.479662022311989
"41";-1.12714484836792
"42";0.119579278512249
"43";-3.11932037799948
"44";2.1763342929159
"45";-0.726595705085603
"46";-0.341784398600073
"47";-0.774488317907505
"48";-2.08319157193494
"49";-1.55694456490822
"50";-2.15538636968709
"51";-0.518795818526341
"52";-1.31106991352343
"53";-0.96846751247099
"54";-0.772703089313011
"55";-2.46843440582468
"56";1.15395040509872
"57";-1.11346628141704
"58";-1.45122912292875
"59";-0.638272294607056
"60";-1.37043020503633
"61";-0.825694166173136
"62";-1.10135006948835
"63";-0.176650780227102
"64";-3.65137818681961
"65";-1.62686516664234
"66";-3.17792641151051
"67";-1.96003078687554
"68";1.69051918051295
"69";-0.809049773832247
"70";-1.94197481066932
"71";-0.83111283007192
"72";-0.28324359434526
"73";-0.184970263801941
"74";0.151742884251994
"75";-1.87625744623266
"76";0.586777514326439
"77";-2.56532173789775
"78";-2.27239912748929
"79";0.171883428343587
"80";-0.226442126053433
"81";-0.73665466075261
"82";-2.61858866255691
"83";-0.163380741452514
"84";-0.14147775611108
"85";0.499402074503061
"86";-1.27012343188291
"87";-1.5619596900497
"88";-0.397074557229126
"89";-2.08229209888208
"90";-0.887822993676585
"91";-1.12082688474227
"92";0.625122348286735
"93";0.335960117345515
"94";-1.55935938225948
"95";-1.86752960790751
"96";-1.02592546169935
"97";-0.398809693730106
"98";-1.69319243961033
"99";-1.75093035995322
"100";-0.909297598839943
"101";-2.17124729864313
"102";-0.85464071907072
"103";-1.28732554513242
"104";-0.542964478906934
"105";-2.20226377055609
"106";0.368654220796597
"107";-0.928644621022658
"108";-0.128326505082626
"109";-1.12647124886135
"110";-1.47905004734147
"111";-2.25759774901949
"112";-2.38051851984649
"113";-2.23595164578827
"114";-1.70169113733738
"115";-1.88149095792413
"116";1.41580413779775
"117";0.806298966973735
"118";-1.58382414542117
"119";-1.62578209134959
"120";0.658297778031378
"121";-2.80783502346255
"122";-0.491970760164979
"123";-1.02211904991027
"124";-0.993951977734752
"125";0.108931045990354
"126";-1.10750649784324
"127";-1.19030465671524
"128";0.318541251104859
"129";-2.69907060790516
"130";-0.498987115447318
"131";-1.18307199652431
"132";0.197149962725545
"133";-3.22571541663669
"134";-1.23693473111127
"135";-1.07334198114819
"136";-3.28245351070675
"137";-1.67413663823809
"138";-0.440100358922488
"139";1.0748064541241
"140";-1.16028001633072
"141";-0.485918703730704
"142";-1.47077509722871
"143";-1.23133341589833
"144";-0.978799638275312
"145";-1.44367301344907
"146";-0.0930357746443099
"147";-1.1241383062214
"148";-3.01157124766202
"149";-1.65098714553284
"150";1.34989266570379
"151";-2.18428341072923
"152";-3.47033551106582
"153";-1.21156256709246
"154";-1.19524515169641
"155";-2.6233326629303
"156";-1.85216959394523
"157";-0.745114413466711
"158";-0.120793396295373
"159";-0.537901501101202
"160";-0.341797688875339
"161";-1.36427242240511
"162";-0.357132468364392
"163";-0.504509259177401
"164";-2.35766468013301
"165";0.123216263384022
"166";-0.230143095119584
"167";-0.519130213727409
"168";-2.05395666995877
"169";-0.590747988542302
"170";0.396029853289942
"171";-1.02400730264638
"172";0.0234291887279765
"173";-2.89475061759546
"174";-2.34629270314041
"175";-0.0212098581350996
"176";0.20147633053054
"177";-3.12625020427532
"178";-2.67236907963583
"179";-1.81304585982492
"180";-2.50648436720186
"181";-0.266247847266659
"182";-2.45223141666035
"183";0.5084223234931
"184";-1.06286003081515
"185";-0.294653291821535
"186";-0.822878990112936
"187";-2.7092573332303
"188";-1.85194292856004
"189";-0.519508205751216
"190";-1.87451418944263
"191";-1.01353199517215
"192";-1.51480161377085
"193";-2.19360651438126
"194";-1.27436094205182
"195";-2.1254901916333
"196";-1.17315039272144
"197";0.695011911657414
"198";-2.14907865066523
"199";-1.21238646736715
"200";-1.88446346835814
"201";-1.14584163759058
"202";-0.769579891943761
"203";-0.981425724511151
"204";-1.29183967692452
"205";-0.82574557638764
"206";1.27203258761929
"207";0.634990447380669
"208";-0.227160107244371
"209";-2.61797173611881
"210";0.211719847771641
"211";-2.99840584961397
"212";-1.30393914679078
